INFO 2022-10-22 23:51:52,803  product details successfully fetched for 19th product
INFO 2022-10-22 23:51:52,958  product details successfully fetched for 20th product
INFO 2022-10-22 23:51:53,070  product details successfully fetched for 21th product
INFO 2022-10-22 23:51:53,182  product details successfully fetched for 22th product
ERROR 2022-10-22 23:51:53,291 Percentage_off not present for 23th product
INFO 2022-10-22 23:51:53,291  product details successfully fetched for 23th product
ERROR 2022-10-22 23:51:53,361 1406 (22001): Data too long for column 'comment_urls' at row 1
INFO 2022-10-22 23:51:53,367 127.0.0.1 - - [22/Oct/2022 23:51:53] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 23:51:53,384 127.0.0.1 - - [22/Oct/2022 23:51:53] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 23:52:32,535 review details successfully fetched from 0th customer 
INFO 2022-10-22 23:52:32,649 review details successfully fetched from 1th customer 
INFO 2022-10-22 23:52:32,774 review details successfully fetched from 2th customer 
INFO 2022-10-22 23:52:32,899 review details successfully fetched from 3th customer 
INFO 2022-10-22 23:52:33,024 review details successfully fetched from 4th customer 
INFO 2022-10-22 23:52:33,139 review details successfully fetched from 5th customer 
INFO 2022-10-22 23:52:33,224 review details successfully fetched from 6th customer 
INFO 2022-10-22 23:52:33,309 review details successfully fetched from 7th customer 
INFO 2022-10-22 23:52:33,395 review details successfully fetched from 8th customer 
INFO 2022-10-22 23:52:33,478 review details successfully fetched from 9th customer 
INFO 2022-10-22 23:52:33,482 127.0.0.1 - - [22/Oct/2022 23:52:33] "[37mPOST /comment HTTP/1.1[0m" 200 -
INFO 2022-10-22 23:52:33,541 127.0.0.1 - - [22/Oct/2022 23:52:33] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-22 23:53:24,709  * Detected change in 'C:\\Users\\Bikash\\Downloads\\pythonpro\\pythonpro\\mysql_conn.py', reloading
INFO 2022-10-22 23:53:56,663 package: mysql.connector.plugins
INFO 2022-10-22 23:53:56,664 plugin_name: caching_sha2_password
INFO 2022-10-22 23:53:56,667 AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
INFO 2022-10-22 23:53:56,668 db connection successful
INFO 2022-10-22 23:53:56,680 127.0.0.1 - - [22/Oct/2022 23:53:56] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-22 23:53:56,747 127.0.0.1 - - [22/Oct/2022 23:53:56] "[37mGET /static/css/main.css HTTP/1.1[0m" 200 -
INFO 2022-10-22 23:53:56,767 127.0.0.1 - - [22/Oct/2022 23:53:56] "[37mGET /static/css/style.css HTTP/1.1[0m" 200 -
INFO 2022-10-22 23:53:56,831 127.0.0.1 - - [22/Oct/2022 23:53:56] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
INFO 2022-10-22 23:54:01,874  product details successfully fetched for 0th product
INFO 2022-10-22 23:54:01,985  product details successfully fetched for 1th product
INFO 2022-10-22 23:54:02,093  product details successfully fetched for 2th product
INFO 2022-10-22 23:54:02,203  product details successfully fetched for 3th product
INFO 2022-10-22 23:54:02,313  product details successfully fetched for 4th product
INFO 2022-10-22 23:54:02,429  product details successfully fetched for 5th product
INFO 2022-10-22 23:54:02,540  product details successfully fetched for 6th product
INFO 2022-10-22 23:54:02,652  product details successfully fetched for 7th product
INFO 2022-10-22 23:54:02,760  product details successfully fetched for 8th product
INFO 2022-10-22 23:54:02,875  product details successfully fetched for 9th product
INFO 2022-10-22 23:54:02,989  product details successfully fetched for 10th product
INFO 2022-10-22 23:54:03,118  product details successfully fetched for 11th product
INFO 2022-10-22 23:54:03,239  product details successfully fetched for 12th product
INFO 2022-10-22 23:54:03,375  product details successfully fetched for 13th product
INFO 2022-10-22 23:54:03,489  product details successfully fetched for 14th product
INFO 2022-10-22 23:54:03,605  product details successfully fetched for 15th product
INFO 2022-10-22 23:54:03,722  product details successfully fetched for 16th product
INFO 2022-10-22 23:54:03,835  product details successfully fetched for 17th product
INFO 2022-10-22 23:54:03,950  product details successfully fetched for 18th product
INFO 2022-10-22 23:54:04,068  product details successfully fetched for 19th product
INFO 2022-10-22 23:54:04,188  product details successfully fetched for 20th product
INFO 2022-10-22 23:54:04,297  product details successfully fetched for 21th product
INFO 2022-10-22 23:54:04,403  product details successfully fetched for 22th product
ERROR 2022-10-22 23:54:04,512 Percentage_off not present for 23th product
INFO 2022-10-22 23:54:04,512  product details successfully fetched for 23th product
ERROR 2022-10-22 23:54:04,597 1406 (22001): Data too long for column 'comment_urls' at row 1
INFO 2022-10-22 23:54:04,603 127.0.0.1 - - [22/Oct/2022 23:54:04] "[37mPOST /review HTTP/1.1[0m" 200 -
INFO 2022-10-22 23:54:04,633 127.0.0.1 - - [22/Oct/2022 23:54:04] "[33mGET /style.css HTTP/1.1[0m" 404 -
INFO 2022-10-23 00:24:43,870 package: mysql.connector.plugins
INFO 2022-10-23 00:24:43,870 plugin_name: caching_sha2_password
INFO 2022-10-23 00:24:43,873 AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
INFO 2022-10-23 00:24:43,874 db connection successful
INFO 2022-10-23 00:24:43,882 127.0.0.1 - - [23/Oct/2022 00:24:43] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-23 00:24:44,761 db connection successful
INFO 2022-10-23 00:24:44,762 127.0.0.1 - - [23/Oct/2022 00:24:44] "[37mGET / HTTP/1.1[0m" 200 -
INFO 2022-10-23 00:24:45,913 127.0.0.1 - - [23/Oct/2022 00:24:45] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
INFO 2022-10-23 00:25:24,481  product details successfully fetched for 0th product
INFO 2022-10-23 00:25:24,601  product details successfully fetched for 1th product
INFO 2022-10-23 00:25:24,729  product details successfully fetched for 2th product
INFO 2022-10-23 00:25:24,846  product details successfully fetched for 3th product
INFO 2022-10-23 00:25:24,972  product details successfully fetched for 4th product
INFO 2022-10-23 00:25:25,098  product details successfully fetched for 5th product
INFO 2022-10-23 00:25:25,213  product details successfully fetched for 6th product
INFO 2022-10-23 00:25:25,336  product details successfully fetched for 7th product
INFO 2022-10-23 00:25:25,457  product details successfully fetched for 8th product
INFO 2022-10-23 00:25:25,569  product details successfully fetched for 9th product
INFO 2022-10-23 00:25:25,686  product details successfully fetched for 10th product
INFO 2022-10-23 00:25:25,807  product details successfully fetched for 11th product
INFO 2022-10-23 00:25:25,924  product details successfully fetched for 12th product
INFO 2022-10-23 00:25:26,048  product details successfully fetched for 13th product
INFO 2022-10-23 00:25:26,160  product details successfully fetched for 14th product
